"Date","Close","1DayPercentMove","2DayPercentMove","3DayPercentMove","4DayPercentMove","5DayPercentMove","6DayPercentMove","7DayPercentMove","8DayPercentMove","9DayPercentMove","10DayPercentMove","11DayPercentMove","12DayPercentMove","13DayPercentMove","14DayPercentMove","15DayPercentMove","16DayPercentMove","17DayPercentMove","18DayPercentMove","19DayPercentMove","20DayPercentMove","50DayPercentMove","100DayPercentMove","200DayPercentMove","10DayAutoCor","20DayAutoCor","50DayAutoCor","100DayAutoCor","1DayATR","2DayATR","5DayATR","10DayATR","20DayATR","50DayATR","100DayATR","1DayMAD","2DayMAD","3DayMAD","5DayMAD","10DayMAD","20DayMAD","50DayMAD","100DayMAD","200DayMAD","20DayMA","50DayMA","100DayMA","20DayDMA","50DayDMA","100DayDMA"
2014-05-05,1875.75,0.06668,-0.1065,-0.1198,0.2137,0.5225,0.8468,0.1468,0.1468,0.09338,0.6034,0.9553,1.241,1.971,2.809,3.532,2.668,0.5899,1.667,2.054,0.8468,2.262,3.69,11.62,-0.6749,-0.0489,0.8776,0.9418,16.75,21,32,53.125,72.375,101.875,174.125,0.208,0.532,0.686,0.934,1.212,2.37,7.524,14.244,20.068,1857.475,1859.26,1834.3639,0.9839,0.8869,2.2562
2014-05-02,1874.5,-0.1731,-0.1864,0.1469,0.4555,0.7796,0.08008,0.08008,0.02668,0.5363,0.888,1.174,1.903,2.74,3.464,2.6,0.5229,1.599,1.986,0.7796,-0.4514,2.083,3.85,11.88,-0.404,0.0661,0.9163,0.9775,12.625,14.875,35.75,65.625,73.125,101.875,174.125,0.24,0.642,0.79,0.732,1.528,2.928,7.342,14.244,20.39,1856.6875,1858.43,1833.6964,0.9594,0.8647,2.2252
2014-05-01,1877.75,-0.01331,0.3206,0.6297,0.9543,0.2536,0.2536,0.2001,0.7106,1.063,1.349,2.079,2.919,3.643,2.778,0.6971,1.775,2.163,0.9543,-0.2788,-0.2788,2.862,5.255,12.36,-0.6127,0.2,0.9403,0.9772,12.625,23.875,37,64,73.125,101.875,174.125,0.326,0.724,0.79,0.474,1.58,2.946,7.314,13.472,20.05,1857.1125,1857.665,1833.0014,1.1113,1.0812,2.4413
2014-04-30,1878,0.3339,0.6431,0.9677,0.267,0.267,0.2134,0.7241,1.076,1.363,2.093,2.932,3.657,2.792,0.7106,1.789,2.176,0.9677,-0.2655,-0.2655,0.01331,2.204,4.814,11.95,-0.53,0.0807,0.9356,0.9786,12.125,22.5,39.375,65.625,73.125,101.875,174.125,0.298,0.798,1.01,0.814,1.772,3.106,7.678,13.65,19.52,1857.375,1856.62,1832.0639,1.1104,1.1516,2.5073
2014-04-29,1871.75,0.3082,0.6317,-0.06674,-0.06674,-0.1201,0.3888,0.74,1.026,1.753,2.59,3.312,2.449,0.3754,1.45,1.836,0.6317,-0.5974,-0.5974,-0.3195,0.3888,2.003,4.48,12.06,-0.572,0.3315,0.9443,0.9895,19,30.375,54,81.25,73.125,101.875,174.125,0.302,0.752,0.95,0.96,1.27,2.426,7.588,13.088,19.638,1857.3625,1855.81,1831.2014,0.7746,0.8589,2.2143
2014-04-28,1866,0.3226,-0.3737,-0.3737,-0.4269,0.08045,0.4306,0.7151,1.441,2.275,2.994,2.135,0.06703,1.138,1.523,0.3226,-0.9028,-0.9028,-0.6258,0.08045,0.8376,2.289,3.681,11.74,-0.7773,-0.1597,0.9827,0.9788,24.25,24.25,50.375,82.25,73.125,101.875,174.125,0.444,0.796,0.666,0.782,1.146,2.298,7.512,12.964,19.216,1857,1855.075,1830.3989,0.4847,0.5889,1.945
2014-04-25,1860,-0.6941,-0.6941,-0.7471,-0.2414,0.1076,0.3913,1.114,1.946,2.663,1.806,-0.2547,0.813,1.197,0,-1.222,-1.222,-0.9453,-0.2414,0.5134,1.06,2.366,3.104,12.83,-0.5331,-0.2436,0.9678,0.9751,19.75,24.75,45,74,73.125,102.375,174.125,0.59,0.928,0.91,0.774,1.024,2.202,7.556,13.036,17.858,1856.225,1854.24,1829.7364,0.2034,0.3106,1.654
2014-04-24,1873,0,-0.05336,0.4559,0.8073,1.093,1.821,2.658,3.381,2.518,0.4424,1.518,1.904,0.6989,-0.5311,-0.5311,-0.253,0.4559,1.216,1.766,1.655,3.281,3.81,13.83,0.313,-0.0055,0.9634,0.9783,16,20.5,49.75,70.5,73.125,102.375,172.5,0.72,1.22,1.018,0.55,1.21,2.184,7.754,12.78,18.622,1855.25,1853.38,1829.1764,0.9567,1.0586,2.3958
2014-04-23,1873,-0.05336,0.4559,0.8073,1.093,1.821,2.658,3.381,2.518,0.4424,1.518,1.904,0.6989,-0.5311,-0.5311,-0.253,0.4559,1.216,1.766,1.655,0.7396,4.36,3.94,14.52,0.3236,0.1095,0.9126,0.973,15.625,19.125,52.25,69.625,73.125,106.375,172.5,0.908,1.186,0.598,0.686,1.296,2.26,7.478,12.544,18.526,1853.725,1852.19,1828.4889,1.0398,1.1235,2.4343
2014-04-22,1874,0.5095,0.8611,1.147,1.876,2.713,3.436,2.573,0.496,1.572,1.959,0.7527,-0.478,-0.478,-0.1997,0.5095,1.27,1.82,1.71,0.7933,1.325,4.488,3.967,15.16,0.0653,0.1832,0.9066,0.9626,13.5,22.75,66.875,67,73.125,110.375,172.5,0.882,1.006,0.996,0.83,1.31,2.36,7.428,12.58,18.156,1853.0375,1850.625,1827.7789,1.1313,1.2631,2.5288
